TOI,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,Orbital Period Value,Transit Depth Value,Surface Gravity Value,Planet Radius Value,Night,Effective Temperature Value
2110,394029948,2110.01,PC,282.2290403,78.568858,9.699,32.76639,500.0,4.21,3.20531,210323,6073.0
2128,21832928,2128.01,PC,256.982623331112,32.1054840144448,6.6813,16.3413889020981,372.097061819257,4.37711,2.62907902275773,210322,5991.11
2134,75878355,2134.01,PC,271.935199907964,39.0741455675824,7.7945,9.2292064,1560.0,4.50428,3.09843,210323,4406.0
2134,75878355,2134.02,PC,271.935199907964,39.0741455675824,7.7945,,9670.0,4.50428,7.85085,210323,4406.0
2141,287256467,2141.01,PC,258.762109214843,18.3407682366568,8.8975,18.2615937224586,984.313000534435,4.49483,3.16694309297888,210323,5674.0
2260,232568235,2260.01,CP,247.667166,49.0465248,9.759,0.35245858689096,293.582451832914,4.51,1.65119476555414,210323,5432.0
2298,229608594,2298.01,PC,274.511771809517,74.4668242599141,11.1919,,1990.12639143764,4.61861,2.89511646304676,210323,4239.0
2319,349488688,2319.02,CP,253.784817453601,20.4913315968956,8.40302,11.6207543996685,486.009037465984,4.24509,3.20755400923331,210323,6329.0
2319,349488688,2319.01,CP,253.784817453601,20.4913315968956,8.40302,,855.583603591493,4.24509,4.18440825595438,210323,6329.0
2432,347553438,2432.01,PC,45.1127832,0.3808945,10.185,1.82738,870.0,3.58,8.96794,240122,6130.5
2746,237736186,2746.01,PC,104.0751053,3.8362221,11.906,4.9208778,5680.0,4.39,12.4437,240122,9668.0
2749,235448190,2749.01,PC,104.055638,6.7318152,11.379,6.9724832,4110.0,4.02,18.9679,240122,7616.0
3382,13737885,3382.01,PC,133.75578,-9.165184,11.51,4.4575332,2900.0,4.25,12.6057,240122,6289.3
3678,34551972,3678.01,PC,44.2333372,28.7714801,10.587,4.85421480255816,7842.31579951541,4.03,18.9133255975579,240122,7259.3
3715,354293303,3715.01,PC,88.8908427,39.1265476,12.924,2.47135428160864,8215.11433394451,,21.0203111082595,240123,6351.8
3738,312689217,3738.01,PC,88.9855915,34.2658487,12.15,4.38475089699152,8796.80473270999,4.12,16.9084052654014,240124,6806.6
3800,21291176,3800.01,PC,103.2760748,39.1322832,11.725,1.6667559,1730.0,4.35,5.73913,240122,7189.4
3803,353498819,3803.01,PC,107.1738018,38.181095,12.196,2.5492773,3970.0,3.98,13.2377,240123,6862.4
4161,441572821,4161.01,PC,110.150445,72.7594072,11.94,4.26077970193248,3857.03641873102,4.0,13.7822358402022,240123,7409.0
4174,356822426,4174.01,PC,275.0984218,71.1619597,12.456,1.5569519,950.0,3.94,6.93656,240122,6464.0
4443,158241252,4443.01,PC,274.268899464518,21.9094333355974,7.9147,1.84985667758623,195.41024981131,4.44433,1.71932648175135,210914,5834.0
4443,158241252,4443.02,PC,274.268899464518,21.9094333355974,7.9147,10.3088724146951,372.329580210404,4.44433,2.21228410464763,210914,5834.0
4572,154940895,4572.01,PC,210.028984519701,88.6117077885809,11.9212,13.475546134167,1090.09344135194,4.7642,1.57187190696552,240124,3710.0
4597,68573534,4597.01,PC,73.7057721,22.14649,7.824,4.6663795,6900.0,4.31,13.2255,240122,7712.0
4619,238586172,4619.01,PC,91.1082795099789,22.4994759264686,13.8232,3.47323985883491,10338.2192806827,4.27763,16.6589645278826,240124,7406.97
4620,171160243,4620.01,PC,68.0714060367253,33.3963956354436,9.56967,1.3887494,3301.0,4.07227,15.9057,240122,7825.0
4888,309292963,4888.01,PC,124.3378963,-60.0310083,12.073,9.4185437,2670.0,4.12,8.08768,190506,6243.0
4986,5592720,4986.01,PC,111.5215654,-6.0824686,12.874,6.5946181,9920.0,3.89,22.1605,240123,6345.0
5107,97735297,5107.01,PC,92.674948,31.3284095,9.41,1.8354365,310.0,3.8,5.7988,240122,9758.0
5128,406495245,5128.01,PC,143.317715,9.1684834,8.289,7.604609,1840.0,4.09,8.78214,240122,7642.0
5234,335681838,5234.01,PC,222.513865,63.0384909,10.896,15.1016086,520.0,4.42,2.71644,240124,6511.0
5377,467153319,5377.01,PC,131.1353922,59.4069085,9.367,4.4626933,300.0,,2.68559,240122,6803.0
5381,241174783,5381.01,PC,116.368484,44.1298965,9.542,4.08028642176199,516.622925003369,3.75,6.30096699264886,240122,6802.3
